datetime,type,data
2026-05-21 12:27:56,中国汽柴油批发价格,"{'BASEPRICE_diesel': '7465', 'BASEPRICE_petrol': '8308', 'DATA_diesel': '2026-05-20', 'DATA_petrol': '2026-05-20'}"
2026-05-21 12:27:56,CCTD秦皇岛动力煤价格,"{'draw': 1, 'recordsTotal': 1194, 'recordsFiltered': 1194, 'data': [['2026-05-15', '715', '2', '648', '2', '580', '2', None, None, None, None, None], ['2026-05-08', '713', '12', '646', '11', '578', '11', None, None, None, None, None], ['2026-04-24', '701', '1', '635', '1', '567', '1', None, None, None, None, None], ['2026-04-17', '700', '1', '634', '1', '566', '1', None, None, None, None, None], ['2026-04-10', '699', '3', '633', '2', '565', '1', None, None, None, None, None], ['2026-04-03', '696', '1', '631', '1', '564', '1', None, None, None, None, None], ['2026-03-27', '695', '4', '630', '4', '563', '4', None, None, None, None, None], ['2026-03-20', '691', '-2', '626', '-2', '559', '-2', None, None, None, None, None], ['2026-03-13', '693', '-2', '628', '-2', '561', '-2', None, None, None, None, None], ['2026-03-06', '695', '5', '630', '5', '563', '5', None, None, None, None, None], ['2026-02-27', '690', '6', '625', '6', '558', '5', None, None, None, None, None], ['2026-02-13', '684', '1', '619', '2', '553', '2', None, None, None, None, None], ['2026-02-06', '683', '-2', '617', '-3', '551', '-2', None, None, None, None, None], ['2026-01-30', '685', '-1', '620', '0', '553', '0', None, None, None, None, None], ['2026-01-23', '686', '-2', '620', '-1', '553', '-1', None, None, None, None, None], ['2026-01-16', '688', '2', '621', '2', '554', '3', None, None, None, None, None], ['2026-01-09', '686', '-9', '619', '-6', '551', '-4', None, None, None, None, None], ['2025-12-26', '695', '-7', '625', '-7', '555', '-7', None, None, None, None, None], ['2025-12-19', '702', '-7', '632', '-7', '562', '-8', None, None, None, None, None], ['2025-12-12', '709', '-6', '639', '-6', '570', '-6', None, None, None, None, None], ['2025-12-05', '715', '5', '645', '4', '576', '3', None, None, None, None, None], ['2025-11-28', '710', '0', '641', '-2', '573', '-2', None, None, None, None, None], ['2025-11-21', '710', '0', '643', '1', '575', '1', None, None, None, None, None], ['2025-11-14', '710', '7', '642', '6', '574', '6', None, None, None, None, None], ['2025-11-07', '703', '10', '636', '10', '568', '9', None, None, None, None, None], ['2025-10-31', '693', '2', '626', '1', '559', '1', None, None, None, None, None], ['2025-10-24', '691', '6', '625', '7', '558', '5', None, None, None, None, None], ['2025-10-17', '685', '4', '618', '3', '553', '3', None, None, None, None, None], ['2025-10-10', '681', '1', '615', '1', '550', '0', None, None, None, None, None], ['2025-09-26', '680', '3', '614', '3', '550', '2', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None, None, None]]}"
2026-05-22 12:01:47,中国LNG出厂价格（全国）,"{'DATA': '2026-05-22', 'BASEPRICE': '6180'}"
2026-05-22 12:01:47,中国汽柴油批发价格,"{'BASEPRICE_diesel': '7447', 'BASEPRICE_petrol': '8299', 'DATA_diesel': '2026-05-21', 'DATA_petrol': '2026-05-21'}"
2026-05-22 12:01:47,CCTD秦皇岛动力煤价格,"{'draw': 1, 'recordsTotal': 1195, 'recordsFiltered': 1195, 'data': [['2026-05-22', '715', '0', '648', '0', '580', '0', None, None, None, None, None], ['2026-05-15', '715', '2', '648', '2', '580', '2', None, None, None, None, None], ['2026-05-08', '713', '12', '646', '11', '578', '11', None, None, None, None, None], ['2026-04-24', '701', '1', '635', '1', '567', '1', None, None, None, None, None], ['2026-04-17', '700', '1', '634', '1', '566', '1', None, None, None, None, None], ['2026-04-10', '699', '3', '633', '2', '565', '1', None, None, None, None, None], ['2026-04-03', '696', '1', '631', '1', '564', '1', None, None, None, None, None], ['2026-03-27', '695', '4', '630', '4', '563', '4', None, None, None, None, None], ['2026-03-20', '691', '-2', '626', '-2', '559', '-2', None, None, None, None, None], ['2026-03-13', '693', '-2', '628', '-2', '561', '-2', None, None, None, None, None], ['2026-03-06', '695', '5', '630', '5', '563', '5', None, None, None, None, None], ['2026-02-27', '690', '6', '625', '6', '558', '5', None, None, None, None, None], ['2026-02-13', '684', '1', '619', '2', '553', '2', None, None, None, None, None], ['2026-02-06', '683', '-2', '617', '-3', '551', '-2', None, None, None, None, None], ['2026-01-30', '685', '-1', '620', '0', '553', '0', None, None, None, None, None], ['2026-01-23', '686', '-2', '620', '-1', '553', '-1', None, None, None, None, None], ['2026-01-16', '688', '2', '621', '2', '554', '3', None, None, None, None, None], ['2026-01-09', '686', '-9', '619', '-6', '551', '-4', None, None, None, None, None], ['2025-12-26', '695', '-7', '625', '-7', '555', '-7', None, None, None, None, None], ['2025-12-19', '702', '-7', '632', '-7', '562', '-8', None, None, None, None, None], ['2025-12-12', '709', '-6', '639', '-6', '570', '-6', None, None, None, None, None], ['2025-12-05', '715', '5', '645', '4', '576', '3', None, None, None, None, None], ['2025-11-28', '710', '0', '641', '-2', '573', '-2', None, None, None, None, None], ['2025-11-21', '710', '0', '643', '1', '575', '1', None, None, None, None, None], ['2025-11-14', '710', '7', '642', '6', '574', '6', None, None, None, None, None], ['2025-11-07', '703', '10', '636', '10', '568', '9', None, None, None, None, None], ['2025-10-31', '693', '2', '626', '1', '559', '1', None, None, None, None, None], ['2025-10-24', '691', '6', '625', '7', '558', '5', None, None, None, None, None], ['2025-10-17', '685', '4', '618', '3', '553', '3', None, None, None, None, None], ['2025-10-10', '681', '1', '615', '1', '550', '0', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None, None, None]]}"
2026-05-23 10:45:06,中国LNG出厂价格（全国）,"{'DATA': '2026-05-22', 'BASEPRICE': '6180'}"
2026-05-23 10:45:06,中国汽柴油批发价格,"{'BASEPRICE_diesel': '7447', 'BASEPRICE_petrol': '8299', 'DATA_diesel': '2026-05-21', 'DATA_petrol': '2026-05-21'}"
2026-05-23 10:45:06,CCTD秦皇岛动力煤价格,"{'draw': 1, 'recordsTotal': 1195, 'recordsFiltered': 1195, 'data': [['2026-05-22', '715', '0', '648', '0', '580', '0', None, None, None, None, None], ['2026-05-15', '715', '2', '648', '2', '580', '2', None, None, None, None, None], ['2026-05-08', '713', '12', '646', '11', '578', '11', None, None, None, None, None], ['2026-04-24', '701', '1', '635', '1', '567', '1', None, None, None, None, None], ['2026-04-17', '700', '1', '634', '1', '566', '1', None, None, None, None, None], ['2026-04-10', '699', '3', '633', '2', '565', '1', None, None, None, None, None], ['2026-04-03', '696', '1', '631', '1', '564', '1', None, None, None, None, None], ['2026-03-27', '695', '4', '630', '4', '563', '4', None, None, None, None, None], ['2026-03-20', '691', '-2', '626', '-2', '559', '-2', None, None, None, None, None], ['2026-03-13', '693', '-2', '628', '-2', '561', '-2', None, None, None, None, None], ['2026-03-06', '695', '5', '630', '5', '563', '5', None, None, None, None, None], ['2026-02-27', '690', '6', '625', '6', '558', '5', None, None, None, None, None], ['2026-02-13', '684', '1', '619', '2', '553', '2', None, None, None, None, None], ['2026-02-06', '683', '-2', '617', '-3', '551', '-2', None, None, None, None, None], ['2026-01-30', '685', '-1', '620', '0', '553', '0', None, None, None, None, None], ['2026-01-23', '686', '-2', '620', '-1', '553', '-1', None, None, None, None, None], ['2026-01-16', '688', '2', '621', '2', '554', '3', None, None, None, None, None], ['2026-01-09', '686', '-9', '619', '-6', '551', '-4', None, None, None, None, None], ['2025-12-26', '695', '-7', '625', '-7', '555', '-7', None, None, None, None, None], ['2025-12-19', '702', '-7', '632', '-7', '562', '-8', None, None, None, None, None], ['2025-12-12', '709', '-6', '639', '-6', '570', '-6', None, None, None, None, None], ['2025-12-05', '715', '5', '645', '4', '576', '3', None, None, None, None, None], ['2025-11-28', '710', '0', '641', '-2', '573', '-2', None, None, None, None, None], ['2025-11-21', '710', '0', '643', '1', '575', '1', None, None, None, None, None], ['2025-11-14', '710', '7', '642', '6', '574', '6', None, None, None, None, None], ['2025-11-07', '703', '10', '636', '10', '568', '9', None, None, None, None, None], ['2025-10-31', '693', '2', '626', '1', '559', '1', None, None, None, None, None], ['2025-10-24', '691', '6', '625', '7', '558', '5', None, None, None, None, None], ['2025-10-17', '685', '4', '618', '3', '553', '3', None, None, None, None, None], ['2025-10-10', '681', '1', '615', '1', '550', '0', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None, None, None]]}"
2026-05-24 10:51:05,中国LNG出厂价格（全国）,"{'DATA': '2026-05-22', 'BASEPRICE': '6180'}"
2026-05-24 10:51:05,中国汽柴油批发价格,"{'BASEPRICE_diesel': '7447', 'BASEPRICE_petrol': '8299', 'DATA_diesel': '2026-05-21', 'DATA_petrol': '2026-05-21'}"
2026-05-24 10:51:05,CCTD秦皇岛动力煤价格,"{'draw': 1, 'recordsTotal': 1195, 'recordsFiltered': 1195, 'data': [['2026-05-22', '715', '0', '648', '0', '580', '0', None, None, None, None, None], ['2026-05-15', '715', '2', '648', '2', '580', '2', None, None, None, None, None], ['2026-05-08', '713', '12', '646', '11', '578', '11', None, None, None, None, None], ['2026-04-24', '701', '1', '635', '1', '567', '1', None, None, None, None, None], ['2026-04-17', '700', '1', '634', '1', '566', '1', None, None, None, None, None], ['2026-04-10', '699', '3', '633', '2', '565', '1', None, None, None, None, None], ['2026-04-03', '696', '1', '631', '1', '564', '1', None, None, None, None, None], ['2026-03-27', '695', '4', '630', '4', '563', '4', None, None, None, None, None], ['2026-03-20', '691', '-2', '626', '-2', '559', '-2', None, None, None, None, None], ['2026-03-13', '693', '-2', '628', '-2', '561', '-2', None, None, None, None, None], ['2026-03-06', '695', '5', '630', '5', '563', '5', None, None, None, None, None], ['2026-02-27', '690', '6', '625', '6', '558', '5', None, None, None, None, None], ['2026-02-13', '684', '1', '619', '2', '553', '2', None, None, None, None, None], ['2026-02-06', '683', '-2', '617', '-3', '551', '-2', None, None, None, None, None], ['2026-01-30', '685', '-1', '620', '0', '553', '0', None, None, None, None, None], ['2026-01-23', '686', '-2', '620', '-1', '553', '-1', None, None, None, None, None], ['2026-01-16', '688', '2', '621', '2', '554', '3', None, None, None, None, None], ['2026-01-09', '686', '-9', '619', '-6', '551', '-4', None, None, None, None, None], ['2025-12-26', '695', '-7', '625', '-7', '555', '-7', None, None, None, None, None], ['2025-12-19', '702', '-7', '632', '-7', '562', '-8', None, None, None, None, None], ['2025-12-12', '709', '-6', '639', '-6', '570', '-6', None, None, None, None, None], ['2025-12-05', '715', '5', '645', '4', '576', '3', None, None, None, None, None], ['2025-11-28', '710', '0', '641', '-2', '573', '-2', None, None, None, None, None], ['2025-11-21', '710', '0', '643', '1', '575', '1', None, None, None, None, None], ['2025-11-14', '710', '7', '642', '6', '574', '6', None, None, None, None, None], ['2025-11-07', '703', '10', '636', '10', '568', '9', None, None, None, None, None], ['2025-10-31', '693', '2', '626', '1', '559', '1', None, None, None, None, None], ['2025-10-24', '691', '6', '625', '7', '558', '5', None, None, None, None, None], ['2025-10-17', '685', '4', '618', '3', '553', '3', None, None, None, None, None], ['2025-10-10', '681', '1', '615', '1', '550', '0', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None, None, None]]}"
2026-05-25 12:45:57,中国LNG出厂价格（全国）,"{'DATA': '2026-05-25', 'BASEPRICE': '6176'}"
2026-05-25 12:45:57,中国汽柴油批发价格,"{'BASEPRICE_diesel': '7427', 'BASEPRICE_petrol': '8269', 'DATA_diesel': '2026-05-22', 'DATA_petrol': '2026-05-22'}"
2026-05-25 12:45:57,CCTD秦皇岛动力煤价格,"{'draw': 1, 'recordsTotal': 1195, 'recordsFiltered': 1195, 'data': [['2026-05-22', '715', '0', '648', '0', '580', '0', None, None, None, None, None], ['2026-05-15', '715', '2', '648', '2', '580', '2', None, None, None, None, None], ['2026-05-08', '713', '12', '646', '11', '578', '11', None, None, None, None, None], ['2026-04-24', '701', '1', '635', '1', '567', '1', None, None, None, None, None], ['2026-04-17', '700', '1', '634', '1', '566', '1', None, None, None, None, None], ['2026-04-10', '699', '3', '633', '2', '565', '1', None, None, None, None, None], ['2026-04-03', '696', '1', '631', '1', '564', '1', None, None, None, None, None], ['2026-03-27', '695', '4', '630', '4', '563', '4', None, None, None, None, None], ['2026-03-20', '691', '-2', '626', '-2', '559', '-2', None, None, None, None, None], ['2026-03-13', '693', '-2', '628', '-2', '561', '-2', None, None, None, None, None], ['2026-03-06', '695', '5', '630', '5', '563', '5', None, None, None, None, None], ['2026-02-27', '690', '6', '625', '6', '558', '5', None, None, None, None, None], ['2026-02-13', '684', '1', '619', '2', '553', '2', None, None, None, None, None], ['2026-02-06', '683', '-2', '617', '-3', '551', '-2', None, None, None, None, None], ['2026-01-30', '685', '-1', '620', '0', '553', '0', None, None, None, None, None], ['2026-01-23', '686', '-2', '620', '-1', '553', '-1', None, None, None, None, None], ['2026-01-16', '688', '2', '621', '2', '554', '3', None, None, None, None, None], ['2026-01-09', '686', '-9', '619', '-6', '551', '-4', None, None, None, None, None], ['2025-12-26', '695', '-7', '625', '-7', '555', '-7', None, None, None, None, None], ['2025-12-19', '702', '-7', '632', '-7', '562', '-8', None, None, None, None, None], ['2025-12-12', '709', '-6', '639', '-6', '570', '-6', None, None, None, None, None], ['2025-12-05', '715', '5', '645', '4', '576', '3', None, None, None, None, None], ['2025-11-28', '710', '0', '641', '-2', '573', '-2', None, None, None, None, None], ['2025-11-21', '710', '0', '643', '1', '575', '1', None, None, None, None, None], ['2025-11-14', '710', '7', '642', '6', '574', '6', None, None, None, None, None], ['2025-11-07', '703', '10', '636', '10', '568', '9', None, None, None, None, None], ['2025-10-31', '693', '2', '626', '1', '559', '1', None, None, None, None, None], ['2025-10-24', '691', '6', '625', '7', '558', '5', None, None, None, None, None], ['2025-10-17', '685', '4', '618', '3', '553', '3', None, None, None, None, None], ['2025-10-10', '681', '1', '615', '1', '550', '0', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None, None, None]]}"
2026-05-27 12:33:25,中国LNG出厂价格（全国）,"{'DATA': '2026-05-27', 'BASEPRICE': '6171'}"
2026-05-27 12:33:25,中国汽柴油批发价格,"{'BASEPRICE_diesel': '7373', 'BASEPRICE_petrol': '8230', 'DATA_diesel': '2026-05-26', 'DATA_petrol': '2026-05-26'}"
2026-05-27 12:33:25,CCTD秦皇岛动力煤价格,"{'draw': 1, 'recordsTotal': 1195, 'recordsFiltered': 1195, 'data': [['2026-05-22', '715', '0', '648', '0', '580', '0', None, None, None, None, None], ['2026-05-15', '715', '2', '648', '2', '580', '2', None, None, None, None, None], ['2026-05-08', '713', '12', '646', '11', '578', '11', None, None, None, None, None], ['2026-04-24', '701', '1', '635', '1', '567', '1', None, None, None, None, None], ['2026-04-17', '700', '1', '634', '1', '566', '1', None, None, None, None, None], ['2026-04-10', '699', '3', '633', '2', '565', '1', None, None, None, None, None], ['2026-04-03', '696', '1', '631', '1', '564', '1', None, None, None, None, None], ['2026-03-27', '695', '4', '630', '4', '563', '4', None, None, None, None, None], ['2026-03-20', '691', '-2', '626', '-2', '559', '-2', None, None, None, None, None], ['2026-03-13', '693', '-2', '628', '-2', '561', '-2', None, None, None, None, None], ['2026-03-06', '695', '5', '630', '5', '563', '5', None, None, None, None, None], ['2026-02-27', '690', '6', '625', '6', '558', '5', None, None, None, None, None], ['2026-02-13', '684', '1', '619', '2', '553', '2', None, None, None, None, None], ['2026-02-06', '683', '-2', '617', '-3', '551', '-2', None, None, None, None, None], ['2026-01-30', '685', '-1', '620', '0', '553', '0', None, None, None, None, None], ['2026-01-23', '686', '-2', '620', '-1', '553', '-1', None, None, None, None, None], ['2026-01-16', '688', '2', '621', '2', '554', '3', None, None, None, None, None], ['2026-01-09', '686', '-9', '619', '-6', '551', '-4', None, None, None, None, None], ['2025-12-26', '695', '-7', '625', '-7', '555', '-7', None, None, None, None, None], ['2025-12-19', '702', '-7', '632', '-7', '562', '-8', None, None, None, None, None], ['2025-12-12', '709', '-6', '639', '-6', '570', '-6', None, None, None, None, None], ['2025-12-05', '715', '5', '645', '4', '576', '3', None, None, None, None, None], ['2025-11-28', '710', '0', '641', '-2', '573', '-2', None, None, None, None, None], ['2025-11-21', '710', '0', '643', '1', '575', '1', None, None, None, None, None], ['2025-11-14', '710', '7', '642', '6', '574', '6', None, None, None, None, None], ['2025-11-07', '703', '10', '636', '10', '568', '9', None, None, None, None, None], ['2025-10-31', '693', '2', '626', '1', '559', '1', None, None, None, None, None], ['2025-10-24', '691', '6', '625', '7', '558', '5', None, None, None, None, None], ['2025-10-17', '685', '4', '618', '3', '553', '3', None, None, None, None, None], ['2025-10-10', '681', '1', '615', '1', '550', '0', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None, None, None]]}"
2026-05-28 12:46:07,中国LNG出厂价格（全国）,"{'DATA': '2026-05-28', 'BASEPRICE': '6156'}"
2026-05-28 12:46:07,中国汽柴油批发价格,"{'BASEPRICE_diesel': '7346', 'BASEPRICE_petrol': '8216', 'DATA_diesel': '2026-05-27', 'DATA_petrol': '2026-05-27'}"
2026-05-28 12:46:07,CCTD秦皇岛动力煤价格,"{'draw': 1, 'recordsTotal': 1195, 'recordsFiltered': 1195, 'data': [['2026-05-22', '715', '0', '648', '0', '580', '0', None, None, None, None, None], ['2026-05-15', '715', '2', '648', '2', '580', '2', None, None, None, None, None], ['2026-05-08', '713', '12', '646', '11', '578', '11', None, None, None, None, None], ['2026-04-24', '701', '1', '635', '1', '567', '1', None, None, None, None, None], ['2026-04-17', '700', '1', '634', '1', '566', '1', None, None, None, None, None], ['2026-04-10', '699', '3', '633', '2', '565', '1', None, None, None, None, None], ['2026-04-03', '696', '1', '631', '1', '564', '1', None, None, None, None, None], ['2026-03-27', '695', '4', '630', '4', '563', '4', None, None, None, None, None], ['2026-03-20', '691', '-2', '626', '-2', '559', '-2', None, None, None, None, None], ['2026-03-13', '693', '-2', '628', '-2', '561', '-2', None, None, None, None, None], ['2026-03-06', '695', '5', '630', '5', '563', '5', None, None, None, None, None], ['2026-02-27', '690', '6', '625', '6', '558', '5', None, None, None, None, None], ['2026-02-13', '684', '1', '619', '2', '553', '2', None, None, None, None, None], ['2026-02-06', '683', '-2', '617', '-3', '551', '-2', None, None, None, None, None], ['2026-01-30', '685', '-1', '620', '0', '553', '0', None, None, None, None, None], ['2026-01-23', '686', '-2', '620', '-1', '553', '-1', None, None, None, None, None], ['2026-01-16', '688', '2', '621', '2', '554', '3', None, None, None, None, None], ['2026-01-09', '686', '-9', '619', '-6', '551', '-4', None, None, None, None, None], ['2025-12-26', '695', '-7', '625', '-7', '555', '-7', None, None, None, None, None], ['2025-12-19', '702', '-7', '632', '-7', '562', '-8', None, None, None, None, None], ['2025-12-12', '709', '-6', '639', '-6', '570', '-6', None, None, None, None, None], ['2025-12-05', '715', '5', '645', '4', '576', '3', None, None, None, None, None], ['2025-11-28', '710', '0', '641', '-2', '573', '-2', None, None, None, None, None], ['2025-11-21', '710', '0', '643', '1', '575', '1', None, None, None, None, None], ['2025-11-14', '710', '7', '642', '6', '574', '6', None, None, None, None, None], ['2025-11-07', '703', '10', '636', '10', '568', '9', None, None, None, None, None], ['2025-10-31', '693', '2', '626', '1', '559', '1', None, None, None, None, None], ['2025-10-24', '691', '6', '625', '7', '558', '5', None, None, None, None, None], ['2025-10-17', '685', '4', '618', '3', '553', '3', None, None, None, None, None], ['2025-10-10', '681', '1', '615', '1', '550', '0', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None, None, None]]}"
